Technique,Model,Use_Case,Pre_Compression_Accuracy (%),Post_Compression_Accuracy (%),Model_Size_MB_Before,Model_Size_MB_After,Inference_Time_Before (ms),Inference_Time_After (ms),Energy_Consumption_After (mWh),Device_Type,Network_Availability,Location
Knowledge Distillation,SqueezeNet,Education,85.9,85.4,60.7,27.7,494,376.4,34.7,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,ResNet18,Education,87.9,86.3,57,38,470.1,311.8,31.3,Mid-Range,Good,West Bengal
Pruning,ResNet18,Education,91.7,89.4,81.9,36.9,357.8,245.5,21.3,Mid-Range,Good,Uttar Pradesh
Quantization,EfficientNet,Education,91.5,88.6,44.9,15.8,556.2,311,32.9,Low-End,Poor,Tamil Nadu
Knowledge Distillation,ResNet50,Education,87.6,86.7,7.8,5.2,209.7,128.5,12.9,Low-End,Good,Andhra Pradesh
Weight Sharing,MobileNetV2,Education,86.3,83.7,5,2.3,537.8,299.5,35.3,Mid-Range,Moderate,Rajasthan
Pruning,EfficientNet,Education,92.4,90,6,3.3,199,152.8,14.7,Mid-Range,Poor,West Bengal
Quantization,ResNet50,Agriculture,88.9,86.8,59.8,41.5,307.4,216.5,32.1,Mid-Range,Moderate,Assam
Knowledge Distillation,SqueezeNet,Education,89.2,88,99.7,40.6,284.6,185.6,16.5,Mid-Range,Good,Chhattisgarh
Weight Sharing,EfficientNet,Healthcare,89.6,88.4,25.8,15.4,330.1,263.5,23.1,Low-End,Moderate,Bihar
Pruning,EfficientNet,Agriculture,92.3,91.6,4.2,2.3,444,293.1,33.8,Low-End,Moderate,Chhattisgarh
Quantization,ResNet50,Education,89.7,87,22.7,14.8,426.1,265.4,15.9,Mid-Range,Poor,West Bengal
Knowledge Distillation,ResNet18,Healthcare,83.3,80.7,62.1,25.9,356.3,227.6,22.7,Mid-Range,Good,Manipur
Weight Sharing,ResNet50,Agriculture,92.6,91.5,63.8,28.1,598.9,344.7,14.3,Low-End,Moderate,West Bengal
Pruning,MobileNet,Agriculture,90.8,88.2,42.8,14.9,272.1,155.1,23.3,Low-End,Good,Odisha
Quantization,ResNet18,Healthcare,86.1,83.8,13.9,7.3,571.8,373.8,26.2,Mid-Range,Moderate,Tamil Nadu
Knowledge Distillation,ResNet18,Healthcare,92.3,89.9,67.9,41.1,157.1,79.2,36.8,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,MobileNet,Agriculture,86,85.3,56.4,20.2,343.1,228.1,27.1,Low-End,Moderate,Chhattisgarh
Pruning,ResNet18,Healthcare,87.3,85.6,94.9,52.1,513.2,365.4,17.6,Low-End,Moderate,Rajasthan
Quantization,MobileNetV2,Healthcare,88,87.4,55,18.1,589.8,378.1,27.8,Mid-Range,Good,West Bengal
Knowledge Distillation,EfficientNet,Healthcare,84.4,83.7,74.7,27.1,392.8,302,21.9,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,SqueezeNet,Agriculture,92.2,89.8,32,15.8,320.7,199.2,33.2,Mid-Range,Moderate,West Bengal
Pruning,ResNet50,Agriculture,85.3,82.7,36.5,14.1,548.8,387.2,39.4,Mid-Range,Poor,Madhya Pradesh
Quantization,EfficientNet,Agriculture,92.1,91,11.1,6.2,155.9,105.9,12.2,Mid-Range,Good,Bihar
Knowledge Distillation,MobileNetV2,Agriculture,91.9,90.9,8.6,4.3,325.6,260.1,33.7,Low-End,Good,Manipur
Weight Sharing,ResNet50,Education,87.8,87.1,96.5,57.9,228.9,124.3,14.7,Mid-Range,Moderate,Chhattisgarh
Pruning,EfficientNet,Education,92.5,91.6,13.6,5.6,157.3,107.3,25.3,Mid-Range,Good,Rajasthan
Quantization,ResNet50,Education,85.2,84.6,63.2,24.9,508.1,350.2,11,Mid-Range,Good,Manipur
Knowledge Distillation,ResNet18,Education,83.4,82.9,64.5,20,406.7,299.8,15.7,Mid-Range,Moderate,Rajasthan
Weight Sharing,SqueezeNet,Education,89.8,88.5,56.7,38.6,530.1,418.8,13.3,Mid-Range,Moderate,Uttar Pradesh
Pruning,ResNet50,Education,85.9,84.6,57.4,38.5,272.3,209.8,27.3,Low-End,Moderate,Odisha
Quantization,ResNet18,Healthcare,88.2,86.8,20.9,11.1,367.7,287.7,26.7,Low-End,Poor,Andhra Pradesh
Knowledge Distillation,MobileNet,Education,89.8,87.9,96.2,36.3,191.5,118.2,38.9,Mid-Range,Good,Manipur
Weight Sharing,MobileNetV2,Education,89.9,87.1,63,38.7,412,228.2,25.3,Low-End,Poor,West Bengal
Pruning,ResNet18,Healthcare,84.5,83.7,9.1,3.4,212.5,139.2,20.2,Low-End,Good,Odisha
Quantization,EfficientNet,Healthcare,88.2,87.5,29.7,19.4,541.7,331.7,19.1,Mid-Range,Moderate,Chhattisgarh
Knowledge Distillation,ResNet18,Agriculture,85,83,41.7,25.3,392.5,203.2,16.7,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,EfficientNet,Agriculture,83.7,81.3,98.2,57.2,306.9,241.4,30.4,Mid-Range,Moderate,Chhattisgarh
Pruning,MobileNetV2,Education,89.7,87,86.6,38.1,303.5,168.9,35.5,Mid-Range,Good,Jharkhand
Quantization,ResNet18,Healthcare,88.1,87.3,90,27.2,371.2,244.3,20.3,Low-End,Good,Assam
Knowledge Distillation,SqueezeNet,Agriculture,92,90.9,44.7,21.8,366.4,282.8,22.3,Low-End,Poor,Manipur
Weight Sharing,SqueezeNet,Education,85.9,85.1,37.5,25.6,460.9,349.4,19.1,Mid-Range,Moderate,Jharkhand
Pruning,ResNet18,Agriculture,93.9,93,39.3,17.2,174.2,131.6,37.9,Low-End,Moderate,Jharkhand
Quantization,EfficientNet,Agriculture,91.5,90.8,18.1,11.1,445.9,234.1,26.4,Low-End,Good,Chhattisgarh
Knowledge Distillation,MobileNet,Healthcare,94,91.7,96.9,62,461.5,240.9,23.5,Low-End,Good,Assam
Weight Sharing,SqueezeNet,Healthcare,89.8,87,11.2,7.6,519,288.7,36.4,Low-End,Moderate,Tamil Nadu
Pruning,ResNet50,Healthcare,88.6,87.5,34.8,17.8,503.1,388.6,39.2,Mid-Range,Moderate,Manipur
Quantization,MobileNetV2,Agriculture,86.2,83.5,93.3,46.2,473.7,289.5,27.4,Low-End,Poor,Jharkhand
Knowledge Distillation,EfficientNet,Agriculture,90.3,87.8,42.5,20.9,378.3,261.7,23.4,Mid-Range,Good,Jharkhand
Weight Sharing,MobileNet,Healthcare,89,87.6,35.7,22.2,384.3,250.5,19.8,Low-End,Poor,Rajasthan
Pruning,MobileNet,Education,86.3,84.2,43.3,16.8,447.7,302.1,34.1,Low-End,Poor,Tamil Nadu
Quantization,MobileNet,Healthcare,87.9,86,81.8,37.5,298.9,198.6,18.1,Mid-Range,Good,Andhra Pradesh
Knowledge Distillation,ResNet50,Agriculture,91.9,90.8,54.8,22.9,523.5,328,11.3,Low-End,Moderate,Madhya Pradesh
Weight Sharing,MobileNet,Education,92,90.2,84.8,25.7,337.6,214.6,39.1,Low-End,Good,West Bengal
Pruning,EfficientNet,Healthcare,85.2,82.4,43.2,23,231.8,128.1,17.6,Mid-Range,Poor,West Bengal
Quantization,MobileNetV2,Agriculture,92,91.4,55.3,38.5,554.2,351.4,21.3,Mid-Range,Moderate,Madhya Pradesh
Knowledge Distillation,MobileNetV2,Healthcare,85.9,84.1,79.1,34.1,466.7,254.7,32.2,Low-End,Moderate,Madhya Pradesh
Weight Sharing,EfficientNet,Education,86,84.1,4.5,2.8,247.8,128.8,31.3,Mid-Range,Moderate,Rajasthan
Pruning,SqueezeNet,Healthcare,86.8,85.7,11,4.5,153.1,87.8,30.7,Low-End,Moderate,Madhya Pradesh
Quantization,EfficientNet,Agriculture,92.4,89.5,62.7,43.6,501.5,296.9,32.1,Mid-Range,Good,Bihar
Knowledge Distillation,ResNet50,Healthcare,89.1,86.6,83.2,48.9,359.9,187.6,29.5,Mid-Range,Poor,Assam
Weight Sharing,EfficientNet,Education,88.2,87.5,97.2,60.1,293.3,213.6,27.4,Mid-Range,Poor,Madhya Pradesh
Pruning,MobileNet,Education,93.8,92.3,71.8,49.9,365.6,186.5,16.4,Low-End,Moderate,Chhattisgarh
Quantization,MobileNetV2,Education,91.3,90.1,89,36.8,260.1,144.3,24.6,Mid-Range,Poor,West Bengal
Knowledge Distillation,MobileNetV2,Agriculture,92.4,91.5,61.2,19.6,470.5,341.8,16.8,Low-End,Poor,Assam
Weight Sharing,ResNet18,Education,92.3,91.1,29.2,11.6,370.2,215.2,39.7,Low-End,Poor,West Bengal
Pruning,SqueezeNet,Healthcare,88,87.3,89.1,48.5,527.2,379.8,36,Mid-Range,Good,Jharkhand
Quantization,SqueezeNet,Healthcare,84.9,83.5,79.8,53.6,176.3,94.4,12.4,Low-End,Good,Bihar
Knowledge Distillation,ResNet18,Education,93.8,92.8,15.5,5.9,335,250.1,29.1,Mid-Range,Poor,Rajasthan
Weight Sharing,MobileNetV2,Agriculture,91.5,88.9,74.4,22.5,324.3,171,32.1,Low-End,Moderate,Bihar
Pruning,SqueezeNet,Education,86.3,83.3,94.8,60.2,554.2,361.2,22.9,Mid-Range,Good,Chhattisgarh
Quantization,MobileNetV2,Agriculture,83.3,81.7,7.7,4.6,159.4,83.3,17.6,Low-End,Poor,Jharkhand
Knowledge Distillation,ResNet18,Education,93.5,91.2,36.9,23.5,380.5,243,33.8,Low-End,Good,Chhattisgarh
Weight Sharing,ResNet18,Healthcare,92.7,91.3,55,33.2,180.2,139.6,16.9,Mid-Range,Poor,Madhya Pradesh
Pruning,ResNet50,Healthcare,83.1,80.6,42.9,23.8,269.5,172.7,10,Low-End,Good,Bihar
Quantization,ResNet50,Agriculture,89.7,89.1,47.4,25.9,591.1,309.8,24.3,Mid-Range,Poor,Andhra Pradesh
Knowledge Distillation,MobileNet,Education,92.9,92,86.8,59.2,533.8,400.3,18.6,Low-End,Poor,Andhra Pradesh
Weight Sharing,ResNet50,Education,86.3,84.4,8.8,5.1,494,386.9,22.4,Mid-Range,Poor,Odisha
Pruning,MobileNetV2,Education,92,90.7,50.2,15.8,240.7,139,17,Mid-Range,Moderate,Madhya Pradesh
Quantization,ResNet18,Education,83.5,80.8,54.2,22.9,322.3,213.3,38.3,Mid-Range,Moderate,Manipur
Knowledge Distillation,MobileNetV2,Education,89.6,86.9,97.8,36.9,166.1,105.3,29.3,Mid-Range,Moderate,Odisha
Weight Sharing,ResNet50,Healthcare,92.1,89.7,42.1,14.4,537.8,332.7,33.9,Mid-Range,Good,Uttar Pradesh
Pruning,ResNet50,Healthcare,87.7,86.3,19.6,13.1,302,196,17.1,Low-End,Moderate,Assam
Quantization,MobileNetV2,Education,84.6,82.8,74.9,43,159.8,125.4,34.6,Low-End,Good,Tamil Nadu
Knowledge Distillation,SqueezeNet,Healthcare,91,88.6,64,37.7,342.2,202.1,39.8,Mid-Range,Moderate,West Bengal
Weight Sharing,MobileNetV2,Agriculture,85.4,82.5,32.9,11.4,402.4,259.8,15.8,Low-End,Good,Uttar Pradesh
Pruning,EfficientNet,Education,92.2,91.1,47.4,31.2,214.4,133.1,12.1,Mid-Range,Good,Odisha
Quantization,SqueezeNet,Agriculture,92.6,90.7,22,7.6,329.4,211.2,14,Mid-Range,Good,Manipur
Knowledge Distillation,ResNet18,Education,85.3,82.7,5.9,2.9,375.6,223.2,17.9,Mid-Range,Moderate,West Bengal
Weight Sharing,MobileNet,Healthcare,91.4,89.3,94.1,34,450.7,302.9,12.6,Mid-Range,Poor,Andhra Pradesh
Pruning,ResNet18,Healthcare,83.9,83.1,14.4,9.6,496,358,33.5,Low-End,Good,Madhya Pradesh
Quantization,EfficientNet,Education,86.3,85.1,10.7,5.5,223.5,131.8,11.1,Low-End,Poor,West Bengal
Knowledge Distillation,ResNet18,Education,91.3,89.9,76.9,44.3,283.2,214.7,28.1,Low-End,Poor,Chhattisgarh
Weight Sharing,MobileNetV2,Healthcare,85.2,84.6,28.3,18.6,540.8,388.4,33.2,Low-End,Poor,Chhattisgarh
Pruning,ResNet18,Healthcare,88.6,86.4,68.1,21.2,183.5,131.9,27.6,Low-End,Good,Rajasthan
Quantization,SqueezeNet,Healthcare,87.3,86.8,31.1,16.4,417.1,298.8,15.3,Mid-Range,Moderate,Bihar
Knowledge Distillation,ResNet18,Healthcare,86.5,85,65.9,40.2,304.9,211.2,29.9,Mid-Range,Poor,Andhra Pradesh
Weight Sharing,EfficientNet,Agriculture,86.6,85.7,20.9,12.3,211,157.6,14.2,Low-End,Moderate,West Bengal
Pruning,MobileNet,Education,93.6,92.4,53.5,32.8,159.8,94.9,25.3,Low-End,Poor,Odisha
Quantization,SqueezeNet,Healthcare,90.7,89.4,74,28.6,387.9,250.6,21.1,Low-End,Good,Odisha
Knowledge Distillation,SqueezeNet,Agriculture,83.9,82.3,39.8,16.7,209.3,109,37,Mid-Range,Good,Madhya Pradesh
Weight Sharing,ResNet18,Agriculture,83.5,81.2,83.4,27,552.8,364.1,18.8,Low-End,Poor,Chhattisgarh
Pruning,ResNet18,Healthcare,86.1,84.3,80.3,30.3,553.1,421.1,31.6,Mid-Range,Good,West Bengal
Quantization,MobileNetV2,Agriculture,87.1,85.3,27.6,14.7,303.7,239.8,36.5,Low-End,Poor,Andhra Pradesh
Knowledge Distillation,ResNet18,Education,93,92.2,65.2,45.3,221.9,122,19.5,Low-End,Moderate,West Bengal
Weight Sharing,MobileNet,Healthcare,86.8,85,45.8,15.7,450.7,263.7,21.5,Mid-Range,Good,Uttar Pradesh
Pruning,SqueezeNet,Agriculture,92.1,89.4,12.7,3.9,517.9,359.3,20,Low-End,Good,Madhya Pradesh
Quantization,ResNet18,Agriculture,86.2,83.5,52.4,34.4,502,290.1,23.1,Low-End,Poor,Rajasthan
Knowledge Distillation,SqueezeNet,Education,87.3,85,15.2,10.6,401.8,207,28.7,Mid-Range,Good,Madhya Pradesh
Weight Sharing,ResNet18,Agriculture,92.7,90.3,89.7,30.1,334.2,176.8,27.5,Low-End,Good,Madhya Pradesh
Pruning,EfficientNet,Education,85.2,84.2,38.4,24.9,329.4,257.9,38.2,Low-End,Poor,Andhra Pradesh
Quantization,EfficientNet,Agriculture,83.6,81,37.1,25.5,291.7,150.9,35.6,Mid-Range,Good,West Bengal
Knowledge Distillation,EfficientNet,Education,83.8,82.7,99.6,65.6,330.4,246.2,31.9,Mid-Range,Moderate,Jharkhand
Weight Sharing,EfficientNet,Education,86.7,84.6,97.5,32.9,277.7,167.2,28.2,Mid-Range,Poor,Uttar Pradesh
Pruning,SqueezeNet,Healthcare,85.6,83.9,74.5,28.9,532,421.4,25.8,Low-End,Poor,West Bengal
Quantization,MobileNet,Education,83.3,81.8,58.4,36.9,344.8,175.8,17.1,Mid-Range,Moderate,Rajasthan
Knowledge Distillation,ResNet18,Healthcare,84.9,84.1,34.3,20.1,285.6,225.4,34,Low-End,Good,Madhya Pradesh
Weight Sharing,EfficientNet,Healthcare,91.1,89.8,64.8,40.7,252,159.2,33.6,Low-End,Poor,West Bengal
Pruning,ResNet50,Agriculture,91.2,88.2,70.7,23.1,503.5,380.2,18.2,Mid-Range,Moderate,Madhya Pradesh
Quantization,ResNet18,Agriculture,92.4,90.8,43.9,23.2,246.9,147.7,13.4,Mid-Range,Good,Manipur
Knowledge Distillation,EfficientNet,Agriculture,83.4,81.2,94.6,64.7,431.4,342.6,35.6,Mid-Range,Poor,Assam
Weight Sharing,ResNet18,Healthcare,84.2,83.2,64.3,43.1,372,230.4,34,Low-End,Good,West Bengal
Pruning,ResNet50,Education,88.6,86.3,29.2,19.7,301.3,180.1,29.8,Low-End,Good,Odisha
Quantization,ResNet18,Education,84.5,82.3,97.7,45.6,217.8,118.8,35.6,Mid-Range,Moderate,Madhya Pradesh
Knowledge Distillation,ResNet18,Healthcare,86.7,85.7,33.5,12.6,356.3,232.2,39.3,Low-End,Poor,Rajasthan
Weight Sharing,ResNet18,Agriculture,87.9,86.2,7.9,4.8,521.2,348.4,21.4,Low-End,Poor,Madhya Pradesh
Pruning,MobileNet,Healthcare,93.3,92.3,9.9,3.7,379.7,198.7,30.1,Low-End,Moderate,Rajasthan
Quantization,ResNet18,Agriculture,86.4,84.9,13.6,4.9,366.4,276.1,20.7,Mid-Range,Good,Andhra Pradesh
Knowledge Distillation,EfficientNet,Education,86.2,85.2,57.8,32.3,261.7,186.7,18.8,Mid-Range,Good,Uttar Pradesh
Weight Sharing,EfficientNet,Education,87.2,84.8,40.4,28,253.2,146.5,17.7,Low-End,Poor,Andhra Pradesh
Pruning,MobileNetV2,Education,84.2,82.4,53,27.3,559.3,406.7,34.1,Mid-Range,Good,Jharkhand
Quantization,SqueezeNet,Healthcare,84.2,82.9,8.2,3.7,152.4,97.9,13.6,Mid-Range,Poor,Bihar
Knowledge Distillation,EfficientNet,Healthcare,87.9,86.9,5.2,2.1,189.6,99.8,10.6,Mid-Range,Poor,Rajasthan
Weight Sharing,MobileNet,Education,85.8,83.8,58.1,19.4,578.6,387.6,13.2,Low-End,Good,Rajasthan
Pruning,ResNet50,Healthcare,92.7,91.3,63.1,20.6,198.2,137.6,21.5,Mid-Range,Good,Andhra Pradesh
Quantization,MobileNet,Education,90.5,89.7,74.8,48.7,523.1,328.7,21.5,Mid-Range,Good,Odisha
Knowledge Distillation,ResNet50,Education,84.3,83.6,80.2,46.4,217.7,169.8,37.1,Mid-Range,Good,Uttar Pradesh
Weight Sharing,ResNet18,Agriculture,91.4,90,44.4,17.7,281,180.3,16.6,Mid-Range,Moderate,Tamil Nadu
Pruning,ResNet50,Education,88.4,86.3,34,10.5,477.7,308.3,23.2,Low-End,Moderate,Assam
Quantization,SqueezeNet,Agriculture,83.8,82.4,30.8,11.4,422.8,257.7,17.3,Low-End,Good,Odisha
Knowledge Distillation,SqueezeNet,Education,90.4,88.3,59.5,27.7,258.6,205.2,34.9,Mid-Range,Good,Jharkhand
Weight Sharing,EfficientNet,Healthcare,83.2,80.6,15.4,7.8,321.8,199.2,34.5,Mid-Range,Poor,Tamil Nadu
Pruning,MobileNet,Agriculture,83.1,82.6,11.7,7.7,336.4,227.4,13.6,Low-End,Moderate,Uttar Pradesh
Quantization,EfficientNet,Education,84.7,84,94.9,53.2,546.7,363.3,12.4,Low-End,Moderate,West Bengal
Knowledge Distillation,SqueezeNet,Agriculture,89.2,88.5,92.3,47.1,222.8,164.7,24.6,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,MobileNetV2,Healthcare,89.9,88.7,12,8.1,395.3,265.6,21.4,Mid-Range,Poor,Andhra Pradesh
Pruning,EfficientNet,Healthcare,87.9,85.2,95.8,53,286.1,169.9,14.4,Mid-Range,Moderate,West Bengal
Quantization,SqueezeNet,Education,85.6,83.8,94.9,54.3,518.3,389.7,25.4,Low-End,Moderate,Uttar Pradesh
Knowledge Distillation,ResNet18,Healthcare,90.9,88.6,84.3,56.2,242,125.6,16.1,Mid-Range,Poor,Chhattisgarh
Weight Sharing,EfficientNet,Healthcare,87.4,86.6,20.7,10.3,276.7,213.1,39.2,Low-End,Poor,Rajasthan
Pruning,ResNet18,Education,87.9,86.1,60,26.7,467.2,360.4,34.8,Mid-Range,Good,Madhya Pradesh
Quantization,ResNet50,Education,86.7,83.8,11.8,4.9,383.1,289.8,15.5,Low-End,Poor,Assam
Knowledge Distillation,SqueezeNet,Agriculture,89,86.5,27.6,17.7,258.4,186,29.7,Mid-Range,Good,Jharkhand
Weight Sharing,MobileNetV2,Education,92.3,90.7,87.5,57.9,244.8,164.9,31.1,Mid-Range,Good,Uttar Pradesh
Pruning,MobileNet,Education,91.3,89.9,80.8,32.4,362.5,241.2,26.7,Low-End,Moderate,Assam
Quantization,MobileNet,Education,93.1,90.9,41.1,28.3,239.2,160.2,30.6,Low-End,Moderate,Chhattisgarh
Knowledge Distillation,EfficientNet,Agriculture,88,86.9,23.1,8.6,212.4,108.3,34.2,Low-End,Poor,Madhya Pradesh
Weight Sharing,MobileNetV2,Education,85.6,84.8,79,46.2,576.3,428.5,39.6,Low-End,Moderate,Manipur
Pruning,ResNet50,Education,86,85.1,8.3,3.9,319,161.3,36.7,Mid-Range,Moderate,Rajasthan
Quantization,SqueezeNet,Agriculture,90.1,89.2,19.5,6.6,520.6,332.6,27.1,Low-End,Poor,Odisha
Knowledge Distillation,ResNet18,Agriculture,85.7,85.2,97.5,52.6,435.6,236.2,16.2,Mid-Range,Moderate,Rajasthan
Weight Sharing,SqueezeNet,Education,86.7,84.9,48.6,14.7,225.7,122.8,39.5,Mid-Range,Poor,Jharkhand
Pruning,MobileNetV2,Agriculture,87.8,86.7,87.3,37.1,440,255.9,33.1,Mid-Range,Good,Bihar
Quantization,ResNet18,Agriculture,83.7,82.7,52.6,34.6,250.4,132.1,33.7,Low-End,Poor,Andhra Pradesh
Knowledge Distillation,EfficientNet,Agriculture,84.3,82.5,24.1,9.1,439.2,240.1,39.5,Low-End,Moderate,Odisha
Weight Sharing,EfficientNet,Agriculture,87.7,84.7,69.1,32.1,476.3,357.8,35,Low-End,Poor,Tamil Nadu
Pruning,ResNet50,Healthcare,88.4,86.3,79,31,305.3,171.8,21.4,Mid-Range,Moderate,Odisha
Quantization,ResNet50,Education,87.1,84.7,87.9,59.9,538.5,350.8,18.8,Mid-Range,Moderate,Chhattisgarh
Knowledge Distillation,SqueezeNet,Healthcare,83.5,82.8,12.4,3.9,569.3,312.9,11.5,Mid-Range,Poor,Odisha
Weight Sharing,ResNet50,Education,85,84.1,56,38.9,481.5,311.9,20.8,Mid-Range,Good,Odisha
Pruning,ResNet50,Agriculture,89,87.3,49.6,31.3,400.7,307.1,23.2,Low-End,Good,Odisha
Quantization,EfficientNet,Education,87.4,85.5,20.9,12.2,488.2,278.7,27.3,Mid-Range,Moderate,Uttar Pradesh
Knowledge Distillation,ResNet50,Healthcare,92.5,89.6,15.6,7.9,167.8,102.8,39.7,Mid-Range,Poor,Manipur
Weight Sharing,SqueezeNet,Agriculture,84.3,82.6,59,24.8,291,151.8,22.4,Low-End,Moderate,Rajasthan
Pruning,ResNet18,Healthcare,90.9,89.1,25.6,8.5,408.4,317.8,28,Low-End,Good,West Bengal
Quantization,ResNet18,Education,87.8,86.8,97.3,61.5,276.3,200.2,14.8,Mid-Range,Good,Uttar Pradesh
Knowledge Distillation,ResNet50,Education,89.8,87.6,82.6,39,416.6,285.7,35.6,Low-End,Moderate,Andhra Pradesh
Weight Sharing,MobileNetV2,Healthcare,89.1,86.8,69.6,30.5,535.2,273,38.2,Low-End,Good,Jharkhand
Pruning,ResNet50,Healthcare,84.5,83.7,10.8,3.8,550.8,330.3,38.1,Low-End,Good,Odisha
Quantization,EfficientNet,Healthcare,86.1,85.3,5.9,3.7,216,127.9,30.7,Low-End,Moderate,West Bengal
Knowledge Distillation,SqueezeNet,Healthcare,89.2,88.6,63.8,30.3,480.8,339.2,11.3,Low-End,Good,Rajasthan
Weight Sharing,SqueezeNet,Healthcare,92,90.3,40.5,25.1,559.4,368.4,15,Low-End,Good,Rajasthan
Pruning,EfficientNet,Healthcare,89.4,88.5,47.7,31.8,366.2,262.4,19.2,Low-End,Good,Manipur
Quantization,MobileNet,Agriculture,85.7,83.8,86.7,27.1,599.7,459.8,14.6,Mid-Range,Poor,Andhra Pradesh
Knowledge Distillation,ResNet18,Education,86.7,84,78.1,42.6,176.1,113,30.8,Low-End,Poor,Rajasthan
Weight Sharing,SqueezeNet,Education,89.9,87.7,53.1,22.4,492.4,279.8,23.9,Mid-Range,Moderate,Manipur
Pruning,MobileNetV2,Agriculture,92.2,90.4,52.7,22,182.9,134.6,39.5,Low-End,Good,Manipur
Quantization,MobileNet,Healthcare,93.7,92.1,5.6,3.2,406.5,214.8,39.6,Mid-Range,Good,Chhattisgarh
Knowledge Distillation,ResNet50,Healthcare,84.3,82.7,49.7,34.2,484.1,254.9,36.8,Mid-Range,Moderate,Assam
Weight Sharing,ResNet50,Agriculture,89.5,88.8,92.5,29.8,185.4,136,18,Low-End,Moderate,Rajasthan
Pruning,MobileNet,Agriculture,84.2,81.4,48.3,33.2,463,257,32.2,Low-End,Moderate,Assam
Quantization,ResNet50,Education,84.4,83,96.1,34.3,155.8,118.8,22.3,Low-End,Good,West Bengal
Knowledge Distillation,MobileNet,Healthcare,89.6,87.5,59.9,18.6,242.7,149.7,11.3,Low-End,Poor,Andhra Pradesh
Weight Sharing,ResNet18,Education,93.7,92.6,53.7,30.4,564.3,340.4,39,Mid-Range,Moderate,Tamil Nadu
Pruning,SqueezeNet,Education,90.8,89.8,51.9,21.3,267.4,159.7,19.8,Low-End,Moderate,Tamil Nadu
Quantization,EfficientNet,Education,85.6,84.9,91.3,40.2,175.3,127.8,20.4,Low-End,Moderate,Bihar
Knowledge Distillation,MobileNetV2,Healthcare,87.4,86.8,64.9,21.3,192.8,121.1,19.5,Low-End,Moderate,Chhattisgarh
Weight Sharing,EfficientNet,Education,87.1,84.6,70.4,21.2,536,361.5,27.8,Low-End,Moderate,Madhya Pradesh
Pruning,EfficientNet,Healthcare,85.1,83.4,43.5,17.1,378.6,266.2,23.6,Low-End,Poor,Odisha
Quantization,MobileNet,Agriculture,84.2,82.6,6.1,4.3,357.5,273.5,18.7,Mid-Range,Moderate,Assam
Knowledge Distillation,SqueezeNet,Education,83.9,81,41,13.4,252,152.2,32,Low-End,Good,Odisha
Weight Sharing,EfficientNet,Healthcare,92.8,92.1,47.3,23.5,507.1,319.2,37.1,Mid-Range,Good,Uttar Pradesh
Pruning,MobileNet,Agriculture,84,83,54.3,17.8,218.6,173.3,18,Mid-Range,Moderate,Andhra Pradesh
Quantization,SqueezeNet,Education,86.2,83.7,74.5,39.4,312.4,242.8,25.2,Mid-Range,Good,Assam
Knowledge Distillation,MobileNet,Agriculture,83.1,81,27,12.6,389.4,304.8,33.7,Low-End,Moderate,Tamil Nadu
Weight Sharing,ResNet18,Healthcare,83.6,81.4,84.2,29,438.4,312,29.6,Low-End,Moderate,Uttar Pradesh
Pruning,MobileNet,Healthcare,83.1,82.4,13.1,6.4,527.3,406.2,30.6,Low-End,Poor,Rajasthan
Quantization,ResNet50,Agriculture,91.7,89.7,51.5,21.7,340.8,257.6,39.7,Mid-Range,Moderate,Jharkhand
Knowledge Distillation,ResNet18,Education,91.8,90.8,79.1,27.9,266,188.6,38.5,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,ResNet50,Education,89.5,88.1,68.4,24.3,522.1,347.8,37.8,Mid-Range,Poor,Uttar Pradesh
Pruning,SqueezeNet,Education,88,86.9,96.4,39.5,466.1,319.3,38.8,Low-End,Good,Rajasthan
Quantization,MobileNetV2,Education,90.4,87.5,47.1,23.9,521.2,295.6,29.9,Mid-Range,Moderate,Odisha
Knowledge Distillation,MobileNet,Agriculture,86.2,85.3,37.8,22.7,541.2,411.5,17.3,Mid-Range,Poor,Rajasthan
Weight Sharing,EfficientNet,Education,92.6,90.6,95.1,52.8,165.8,129,38.1,Low-End,Poor,Tamil Nadu
Pruning,EfficientNet,Education,93.8,92.4,97.5,37.2,549.7,363.8,35.5,Low-End,Poor,Rajasthan
Quantization,ResNet50,Education,88.4,86.4,94.1,61.7,344.4,212.5,37.6,Mid-Range,Moderate,Jharkhand
Knowledge Distillation,SqueezeNet,Agriculture,88.2,85.7,54.4,22.4,251.4,157.8,39.8,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,ResNet18,Healthcare,88.4,85.9,27.6,15.8,467.6,308.6,18.3,Mid-Range,Moderate,Jharkhand
Pruning,ResNet50,Education,92,90.7,50.2,26.3,499.1,382,14,Low-End,Good,West Bengal
Quantization,EfficientNet,Agriculture,84.7,84.1,28.4,9.9,216.8,163.8,19.2,Low-End,Poor,Assam
Knowledge Distillation,ResNet18,Education,91.5,90.3,60.1,40.2,304.5,225.9,35.8,Mid-Range,Poor,West Bengal
